index,lightness,width,species
0,2.834754098360656,21.087142857142855,0
1,3.329180327868852,18.877142857142857,0
2,3.6904918032786886,19.824285714285715,0
3,4.812459016393442,17.759999999999998,0
4,4.812459016393442,16.497142857142855,0
5,4.92655737704918,16.181428571428572,0
6,1.2563934426229508,15.55,0
7,1.63672131147541,20.14,0
8,1.9980327868852457,19.97,0
9,2.872786885245902,18.24571428571429,0
10,3.2340983606557376,18.707142857142856,0
11,3.861639344262296,19.192857142857143,0
12,2.093114754098361,17.395714285714284,0
13,2.093114754098361,15.962857142857144,0
14,2.7016393442622952,17.395714285714284,0
15,2.834754098360656,18.974285714285717,0
16,2.834754098360656,16.27857142857143,0
17,2.093114754098361,20.67428571428572,0
18,2.207213114754098,19.24142857142857,0
19,2.3403278688524587,18.294285714285717,0
20,3.081967213114754,20.504285714285714,0
21,0.8,20.67428571428572,0
22,1.4655737704918033,14.7,0
23,1.598688524590164,21.13571428571429,0
24,3.329180327868852,19.605714285714285,0
25,3.4432786885245905,18.027142857142856,0
26,3.576393442622951,17.225714285714286,0
27,3.785573770491803,16.545714285714286,0
28,3.8996721311475406,18.44,0
29,4.14688524590164,17.662857142857142,0
30,4.14688524590164,17.347142857142856,0
31,4.7744262295081965,17.03142857142857,0
32,6.6,16.084285714285713,0
33,1.2563934426229508,21.5,0
34,3.481311475409836,14.991428571428573,0
35,4.14688524590164,18.707142857142856,0
36,3.614426229508197,15.282857142857145,0
37,1.3324590163934429,21.087142857142855,0
38,1.4655737704918033,16.497142857142855,0
39,0.9331147540983606,18.658571428571427,0
40,1.63672131147541,19.38714285714285,0
41,2.055081967213115,18.512857142857143,0
42,2.055081967213115,16.764285714285712,0
43,2.663606557377049,19.46,0
44,2.872786885245902,19.70285714285714,0
45,2.9868852459016395,16.764285714285712,0
46,3.12,17.80857142857143,0
47,3.12,16.91,0
48,3.2340983606557376,15.647142857142857,0
49,3.3672131147540982,16.861428571428572,0
50,3.4052459016393444,20.237142857142857,0
51,3.975737704918033,16.23,0
52,4.470163934426229,16.545714285714286,0
53,4.60327868852459,15.185714285714283,0
54,4.717377049180328,18.124285714285712,0
55,5.097704918032787,14.7,0
56,5.268852459016393,15.04,0
57,5.592131147540983,15.647142857142857,0
58,6.010491803278688,18.82857142857143,0
59,6.3337704918032784,16.667142857142856,0
60,4.432131147540983,20.334285714285716,0
61,4.717377049180328,19.217142857142857,0
62,2.663606557377049,20.285714285714285,0
63,5.135737704918033,19.654285714285717,0
64,3.4052459016393444,17.08,0
65,2.5875409836065573,15.307142857142855,0
66,3.576393442622951,16.254285714285714,0
